# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-01-09 17:06:41 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09163500 COLORADO RIVER NEAR COLORADO-UTAH STATE LINE
# -----------------------------------------------------------------------------------
#
# Data provided for site 09163500
#    DD parameter   Description
#    01   00060     Discharge, cubic feet per second
#    02   00065     Gage height, feet
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd	02_00065	02_00065_cd
USGS	09163500	2016-01-01 09:00	MST	3140	P	3.54	P
USGS	09163500	2016-01-01 09:15	MST	3180	P	3.56	P
USGS	09163500	2016-01-01 09:30	MST	3160	P	3.55	P
USGS	09163500	2016-01-01 09:45	MST	3160	P	3.55	P
USGS	09163500	2016-01-01 10:00	MST	3160	P	3.55	P
USGS	09163500	2016-01-01 10:15	MST	3160	P	3.55	P
USGS	09163500	2016-01-01 10:30	MST	3160	P	3.55	P
USGS	09163500	2016-01-01 10:45	MST	3190	P	3.57	P
USGS	09163500	2016-01-01 11:00	MST	3190	P	3.57	P
USGS	09163500	2016-01-01 11:15	MST	3230	P	3.60	P
USGS	09163500	2016-01-01 11:30	MST	3270	P	3.63	P
USGS	09163500	2016-01-01 11:45	MST	3310	P	3.65	P
USGS	09163500	2016-01-01 12:00	MST	3370	P	3.69	P
USGS	09163500	2016-01-01 12:15	MST	3360	P	3.68	P
USGS	09163500	2016-01-01 12:30	MST	3390	P	3.71	P
USGS	09163500	2016-01-01 12:45	MST	3440	P	3.74	P
USGS	09163500	2016-01-01 13:00	MST	3490	P	3.77	P
USGS	09163500	2016-01-01 13:15	MST	3530	P	3.79	P
USGS	09163500	2016-01-01 13:30	MST	3560	P	3.81	P
USGS	09163500	2016-01-01 13:45	MST	3590	P	3.84	P
USGS	09163500	2016-01-01 14:00	MST	3630	P	3.86	P
USGS	09163500	2016-01-01 14:15	MST	3660	P	3.88	P
USGS	09163500	2016-01-01 14:30	MST	3680	P	3.89	P
USGS	09163500	2016-01-01 14:45	MST	3650	P	3.87	P
USGS	09163500	2016-01-01 15:00	MST	3660	P	3.88	P
USGS	09163500	2016-01-01 15:15	MST	3650	P	3.87	P
USGS	09163500	2016-01-01 15:30	MST	3630	P	3.86	P
USGS	09163500	2016-01-01 15:45	MST	3610	P	3.85	P
USGS	09163500	2016-01-01 16:00	MST	3610	P	3.85	P
USGS	09163500	2016-01-01 16:15	MST	3610	P	3.85	P
USGS	09163500	2016-01-01 16:30	MST	3630	P	3.86	P
USGS	09163500	2016-01-01 16:45	MST	3630	P	3.86	P
USGS	09163500	2016-01-01 17:00	MST	3650	P	3.87	P
USGS	09163500	2016-01-01 17:15	MST	3660	P	3.88	P
USGS	09163500	2016-01-01 17:30	MST	3660	P	3.88	P
USGS	09163500	2016-01-01 17:45	MST	3680	P	3.89	P
USGS	09163500	2016-01-01 18:00	MST	3680	P	3.89	P
USGS	09163500	2016-01-01 18:15	MST	3680	P	3.89	P
USGS	09163500	2016-01-01 18:30	MST	3680	P	3.89	P
USGS	09163500	2016-01-01 18:45	MST	3680	P	3.89	P
USGS	09163500	2016-01-01 19:00	MST	3680	P	3.89	P
USGS	09163500	2016-01-01 19:15	MST	3700	P	3.90	P
USGS	09163500	2016-01-01 19:30	MST	3720	P	3.91	P
USGS	09163500	2016-01-01 19:45	MST	3750	P	3.93	P
USGS	09163500	2016-01-01 20:00	MST	3750	P	3.93	P
USGS	09163500	2016-01-01 20:15	MST	3770	P	3.95	P
USGS	09163500	2016-01-01 20:30	MST	3770	P	3.95	P
USGS	09163500	2016-01-01 20:45	MST	3750	P	3.94	P
USGS	09163500	2016-01-01 21:00	MST	3740	P	3.92	P
USGS	09163500	2016-01-01 21:15	MST	3720	P	3.91	P
USGS	09163500	2016-01-01 21:30	MST	3680	P	3.89	P
USGS	09163500	2016-01-01 21:45	MST	3660	P	3.88	P
USGS	09163500	2016-01-01 22:00	MST	3650	P	3.87	P
USGS	09163500	2016-01-01 22:15	MST	3650	P	3.87	P
USGS	09163500	2016-01-01 22:30	MST	3610	P	3.85	P
USGS	09163500	2016-01-01 22:45	MST	3590	P	3.84	P
USGS	09163500	2016-01-01 23:00	MST	3580	P	3.83	P
USGS	09163500	2016-01-01 23:15	MST	3560	P	3.81	P
USGS	09163500	2016-01-01 23:30	MST	3540	P	3.80	P
USGS	09163500	2016-01-01 23:45	MST	3510	P	3.78	P
USGS	09163500	2016-01-02 00:00	MST	3490	P	3.77	P
USGS	09163500	2016-01-02 00:15	MST	3460	P	3.75	P
USGS	09163500	2016-01-02 00:30	MST	3440	P	3.74	P
USGS	09163500	2016-01-02 00:45	MST	3410	P	3.72	P
USGS	09163500	2016-01-02 01:00	MST	3390	P	3.70	P
USGS	09163500	2016-01-02 01:15	MST	3360	P	3.68	P
USGS	09163500	2016-01-02 01:30	MST	3340	P	3.67	P
USGS	09163500	2016-01-02 01:45	MST	3310	P	3.65	P
USGS	09163500	2016-01-02 02:00	MST	3270	P	3.63	P
USGS	09163500	2016-01-02 02:15	MST	3260	P	3.62	P
USGS	09163500	2016-01-02 02:30	MST	3240	P	3.61	P
USGS	09163500	2016-01-02 02:45	MST	3230	P	3.59	P
USGS	09163500	2016-01-02 03:00	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 03:15	MST	3190	P	3.57	P
USGS	09163500	2016-01-02 03:30	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 03:45	MST	3160	P	3.55	P
USGS	09163500	2016-01-02 04:00	MST	3160	P	3.55	P
USGS	09163500	2016-01-02 04:15	MST	3140	P	3.54	P
USGS	09163500	2016-01-02 04:30	MST	3130	P	3.53	P
USGS	09163500	2016-01-02 04:45	MST	3110	P	3.52	P
USGS	09163500	2016-01-02 05:00	MST	3110	P	3.52	P
USGS	09163500	2016-01-02 05:15	MST	3100	P	3.51	P
USGS	09163500	2016-01-02 05:30	MST	3080	P	3.50	P
USGS	09163500	2016-01-02 05:45	MST	3080	P	3.50	P
USGS	09163500	2016-01-02 06:00	MST	3070	P	3.49	P
USGS	09163500	2016-01-02 06:15	MST	3050	P	3.47	P
USGS	09163500	2016-01-02 06:30	MST	3050	P	3.47	P
USGS	09163500	2016-01-02 06:45	MST	3030	P	3.46	P
USGS	09163500	2016-01-02 07:00	MST	3020	P	3.45	P
USGS	09163500	2016-01-02 07:15	MST	3030	P	3.46	P
USGS	09163500	2016-01-02 07:30	MST	3020	P	3.45	P
USGS	09163500	2016-01-02 07:45	MST	3000	P	3.44	P
USGS	09163500	2016-01-02 08:00	MST	2990	P	3.43	P
USGS	09163500	2016-01-02 08:15	MST	2990	P	3.43	P
USGS	09163500	2016-01-02 08:30	MST	2990	P	3.43	P
USGS	09163500	2016-01-02 08:45	MST	3000	P	3.44	P
USGS	09163500	2016-01-02 09:00	MST	3000	P	3.44	P
USGS	09163500	2016-01-02 09:15	MST	2970	P	3.42	P
USGS	09163500	2016-01-02 09:30	MST	2970	P	3.42	P
USGS	09163500	2016-01-02 09:45	MST	2990	P	3.43	P
USGS	09163500	2016-01-02 10:00	MST	3000	P	3.44	P
USGS	09163500	2016-01-02 10:15	MST	3000	P	3.44	P
USGS	09163500	2016-01-02 10:30	MST	3000	P	3.44	P
USGS	09163500	2016-01-02 10:45	MST	3030	P	3.46	P
USGS	09163500	2016-01-02 11:00	MST	3050	P	3.47	P
USGS	09163500	2016-01-02 11:15	MST	3050	P	3.47	P
USGS	09163500	2016-01-02 11:30	MST	3070	P	3.48	P
USGS	09163500	2016-01-02 11:45	MST	3070	P	3.49	P
USGS	09163500	2016-01-02 12:00	MST	3110	P	3.52	P
USGS	09163500	2016-01-02 12:15	MST	3140	P	3.54	P
USGS	09163500	2016-01-02 12:30	MST	3110	P	3.52	P
USGS	09163500	2016-01-02 12:45	MST	3140	P	3.54	P
USGS	09163500	2016-01-02 13:00	MST	3140	P	3.54	P
USGS	09163500	2016-01-02 13:15	MST	3140	P	3.54	P
USGS	09163500	2016-01-02 13:30	MST	3160	P	3.55	P
USGS	09163500	2016-01-02 13:45	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 14:00	MST	3230	P	3.60	P
USGS	09163500	2016-01-02 14:15	MST	3240	P	3.61	P
USGS	09163500	2016-01-02 14:30	MST	3270	P	3.63	P
USGS	09163500	2016-01-02 14:45	MST	3260	P	3.62	P
USGS	09163500	2016-01-02 15:00	MST	3240	P	3.61	P
USGS	09163500	2016-01-02 15:15	MST	3230	P	3.60	P
USGS	09163500	2016-01-02 15:30	MST	3230	P	3.59	P
USGS	09163500	2016-01-02 15:45	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 16:00	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 16:15	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 16:30	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 16:45	MST	3190	P	3.57	P
USGS	09163500	2016-01-02 17:00	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 17:15	MST	3190	P	3.57	P
USGS	09163500	2016-01-02 17:30	MST	3190	P	3.57	P
USGS	09163500	2016-01-02 17:45	MST	3190	P	3.57	P
USGS	09163500	2016-01-02 18:00	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 18:15	MST	3190	P	3.57	P
USGS	09163500	2016-01-02 18:30	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 18:45	MST	3230	P	3.59	P
USGS	09163500	2016-01-02 19:00	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 19:15	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 19:30	MST	3190	P	3.57	P
USGS	09163500	2016-01-02 19:45	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 20:00	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 20:15	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 20:30	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 20:45	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 21:00	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 21:15	MST	3190	P	3.57	P
USGS	09163500	2016-01-02 21:30	MST	3160	P	3.55	P
USGS	09163500	2016-01-02 21:45	MST	3140	P	3.54	P
USGS	09163500	2016-01-02 22:00	MST	3160	P	3.55	P
USGS	09163500	2016-01-02 22:15	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 22:30	MST	3180	P	3.56	P
USGS	09163500	2016-01-02 22:45	MST	3190	P	3.57	P
USGS	09163500	2016-01-02 23:00	MST	3190	P	3.57	P
USGS	09163500	2016-01-02 23:15	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 23:30	MST	3210	P	3.58	P
USGS	09163500	2016-01-02 23:45	MST	3210	P	3.58	P
USGS	09163500	2016-01-03 00:00	MST	3190	P	3.57	P
USGS	09163500	2016-01-03 00:15	MST	3190	P	3.57	P
USGS	09163500	2016-01-03 00:30	MST	3190	P	3.57	P
USGS	09163500	2016-01-03 00:45	MST	3180	P	3.56	P
USGS	09163500	2016-01-03 01:00	MST	3160	P	3.55	P
USGS	09163500	2016-01-03 01:15	MST	3140	P	3.54	P
USGS	09163500	2016-01-03 01:30	MST	3130	P	3.53	P
USGS	09163500	2016-01-03 01:45	MST	3130	P	3.53	P
USGS	09163500	2016-01-03 02:00	MST	3110	P	3.52	P
USGS	09163500	2016-01-03 02:15	MST	3100	P	3.51	P
USGS	09163500	2016-01-03 02:30	MST	3100	P	3.51	P
USGS	09163500	2016-01-03 02:45	MST	3080	P	3.50	P
USGS	09163500	2016-01-03 03:00	MST	3100	P	3.51	P
USGS	09163500	2016-01-03 03:15	MST	3080	P	3.50	P
USGS	09163500	2016-01-03 03:30	MST	3110	P	3.52	P
USGS	09163500	2016-01-03 03:45	MST	3110	P	3.52	P
USGS	09163500	2016-01-03 04:00	MST	3110	P	3.52	P
USGS	09163500	2016-01-03 04:15	MST	3130	P	3.53	P
USGS	09163500	2016-01-03 04:30	MST	3130	P	3.53	P
USGS	09163500	2016-01-03 04:45	MST	3110	P	3.52	P
USGS	09163500	2016-01-03 05:00	MST	3110	P	3.52	P
USGS	09163500	2016-01-03 05:15	MST	3100	P	3.51	P
USGS	09163500	2016-01-03 05:30	MST	3100	P	3.51	P
USGS	09163500	2016-01-03 05:45	MST	3070	P	3.49	P
USGS	09163500	2016-01-03 06:00	MST	3070	P	3.48	P
USGS	09163500	2016-01-03 06:15	MST	3030	P	3.46	P
USGS	09163500	2016-01-03 06:30	MST	3000	P	3.44	P
USGS	09163500	2016-01-03 06:45	MST	2970	P	3.42	P
USGS	09163500	2016-01-03 07:00	MST	2940	P	3.40	P
USGS	09163500	2016-01-03 07:15	MST	2910	P	3.38	P
USGS	09163500	2016-01-03 07:30	MST	2900	P	3.37	P
USGS	09163500	2016-01-03 07:45	MST	2900	P	3.36	P
USGS	09163500	2016-01-03 08:00	MST	2870	P	3.34	P
USGS	09163500	2016-01-03 08:15	MST	2840	P	3.32	P
USGS	09163500	2016-01-03 08:30	MST	2820	P	3.31	P
USGS	09163500	2016-01-03 08:45	MST	2810	P	3.30	P
USGS	09163500	2016-01-03 09:00	MST	2790	P	3.29	P
USGS	09163500	2016-01-03 09:15	MST	2780	P	3.28	P
USGS	09163500	2016-01-03 09:30	MST	2750	P	3.26	P
USGS	09163500	2016-01-03 09:45	MST	2750	P	3.25	P
USGS	09163500	2016-01-03 10:00	MST	2750	P	3.25	P
USGS	09163500	2016-01-03 10:15	MST	2730	P	3.24	P
USGS	09163500	2016-01-03 10:30	MST	2750	P	3.25	P
USGS	09163500	2016-01-03 10:45	MST	2750	P	3.25	P
USGS	09163500	2016-01-03 11:00	MST	2750	P	3.25	P
USGS	09163500	2016-01-03 11:15	MST	2730	P	3.24	P
USGS	09163500	2016-01-03 11:30	MST	2750	P	3.25	P
USGS	09163500	2016-01-03 11:45	MST	2750	P	3.25	P
USGS	09163500	2016-01-03 12:00	MST	2750	P	3.25	P
USGS	09163500	2016-01-03 12:15	MST	2760	P	3.27	P
USGS	09163500	2016-01-03 12:30	MST	2780	P	3.28	P
USGS	09163500	2016-01-03 12:45	MST	2780	P	3.28	P
USGS	09163500	2016-01-03 13:00	MST	2790	P	3.29	P
USGS	09163500	2016-01-03 13:15	MST	2820	P	3.31	P
USGS	09163500	2016-01-03 13:30	MST	2870	P	3.34	P
USGS	09163500	2016-01-03 13:45	MST	2900	P	3.37	P
USGS	09163500	2016-01-03 14:00	MST	2910	P	3.38	P
USGS	09163500	2016-01-03 14:15	MST	2930	P	3.39	P
USGS	09163500	2016-01-03 14:30	MST	2930	P	3.39	P
USGS	09163500	2016-01-03 14:45	MST	2940	P	3.40	P
USGS	09163500	2016-01-03 15:00	MST	2940	P	3.40	P
USGS	09163500	2016-01-03 15:15	MST	2930	P	3.39	P
USGS	09163500	2016-01-03 15:30	MST	2910	P	3.38	P
USGS	09163500	2016-01-03 15:45	MST	2910	P	3.38	P
USGS	09163500	2016-01-03 16:00	MST	2900	P	3.37	P
USGS	09163500	2016-01-03 16:15	MST	2900	P	3.36	P
USGS	09163500	2016-01-03 16:30	MST	2870	P	3.34	P
USGS	09163500	2016-01-03 16:45	MST	2850	P	3.33	P
USGS	09163500	2016-01-03 17:00	MST	2850	P	3.33	P
USGS	09163500	2016-01-03 17:15	MST	2840	P	3.32	P
USGS	09163500	2016-01-03 17:30	MST	2850	P	3.33	P
USGS	09163500	2016-01-03 17:45	MST	2850	P	3.33	P
USGS	09163500	2016-01-03 18:00	MST	2870	P	3.34	P
USGS	09163500	2016-01-03 18:15	MST	2900	P	3.36	P
USGS	09163500	2016-01-03 18:30	MST	2910	P	3.38	P
USGS	09163500	2016-01-03 18:45	MST	2930	P	3.39	P
USGS	09163500	2016-01-03 19:00	MST	2960	P	3.41	P
USGS	09163500	2016-01-03 19:15	MST	2970	P	3.42	P
USGS	09163500	2016-01-03 19:30	MST	2990	P	3.43	P
USGS	09163500	2016-01-03 19:45	MST	3020	P	3.45	P
USGS	09163500	2016-01-03 20:00	MST	3020	P	3.45	P
USGS	09163500	2016-01-03 20:15	MST	3070	P	3.48	P
USGS	09163500	2016-01-03 20:30	MST	3070	P	3.48	P
USGS	09163500	2016-01-03 20:45	MST	3070	P	3.48	P
USGS	09163500	2016-01-03 21:00	MST	3070	P	3.48	P
USGS	09163500	2016-01-03 21:15	MST	3070	P	3.49	P
USGS	09163500	2016-01-03 21:30	MST	3070	P	3.49	P
USGS	09163500	2016-01-03 21:45	MST	3070	P	3.49	P
USGS	09163500	2016-01-03 22:00	MST	3070	P	3.49	P
USGS	09163500	2016-01-03 22:15	MST	3080	P	3.50	P
USGS	09163500	2016-01-03 22:30	MST	3080	P	3.50	P
USGS	09163500	2016-01-03 22:45	MST	3100	P	3.51	P
USGS	09163500	2016-01-03 23:00	MST	3110	P	3.52	P
USGS	09163500	2016-01-03 23:15	MST	3110	P	3.52	P
USGS	09163500	2016-01-03 23:30	MST	3110	P	3.52	P
USGS	09163500	2016-01-03 23:45	MST	3130	P	3.53	P
USGS	09163500	2016-01-04 00:00	MST	3130	P	3.53	P
USGS	09163500	2016-01-04 00:15	MST	3140	P	3.54	P
USGS	09163500	2016-01-04 00:30	MST	3140	P	3.54	P
USGS	09163500	2016-01-04 00:45	MST	3160	P	3.55	P
USGS	09163500	2016-01-04 01:00	MST	3180	P	3.56	P
USGS	09163500	2016-01-04 01:15	MST	3190	P	3.57	P
USGS	09163500	2016-01-04 01:30	MST	3210	P	3.58	P
USGS	09163500	2016-01-04 01:45	MST	3210	P	3.58	P
USGS	09163500	2016-01-04 02:00	MST	3210	P	3.58	P
USGS	09163500	2016-01-04 02:15	MST	3210	P	3.58	P
USGS	09163500	2016-01-04 02:30	MST	3230	P	3.59	P
USGS	09163500	2016-01-04 02:45	MST	3210	P	3.58	P
USGS	09163500	2016-01-04 03:00	MST	3210	P	3.58	P
USGS	09163500	2016-01-04 03:15	MST	3190	P	3.57	P
USGS	09163500	2016-01-04 03:30	MST	3190	P	3.57	P
USGS	09163500	2016-01-04 03:45	MST	3180	P	3.56	P
USGS	09163500	2016-01-04 04:00	MST	3180	P	3.56	P
USGS	09163500	2016-01-04 04:15	MST	3160	P	3.55	P
USGS	09163500	2016-01-04 04:30	MST	3160	P	3.55	P
USGS	09163500	2016-01-04 04:45	MST	3160	P	3.55	P
USGS	09163500	2016-01-04 05:00	MST	3140	P	3.54	P
USGS	09163500	2016-01-04 05:15	MST	3140	P	3.54	P
USGS	09163500	2016-01-04 05:30	MST	3130	P	3.53	P
USGS	09163500	2016-01-04 05:45	MST	3140	P	3.54	P
USGS	09163500	2016-01-04 06:00	MST	3140	P	3.54	P
USGS	09163500	2016-01-04 06:15	MST	3130	P	3.53	P
USGS	09163500	2016-01-04 06:30	MST	3140	P	3.54	P
USGS	09163500	2016-01-04 06:45	MST	3140	P	3.54	P
USGS	09163500	2016-01-04 07:00	MST	3130	P	3.53	P
USGS	09163500	2016-01-04 07:15	MST	3110	P	3.52	P
USGS	09163500	2016-01-04 07:30	MST	3130	P	3.53	P
USGS	09163500	2016-01-04 07:45	MST	3110	P	3.52	P
USGS	09163500	2016-01-04 08:00	MST	3110	P	3.52	P
USGS	09163500	2016-01-04 08:15	MST	3100	P	3.51	P
USGS	09163500	2016-01-04 08:30	MST	3070	P	3.49	P
USGS	09163500	2016-01-04 08:45	MST	3050	P	3.47	P
USGS	09163500	2016-01-04 09:00	MST	3030	P	3.46	P
USGS	09163500	2016-01-04 09:15	MST	3020	P	3.45	P
USGS	09163500	2016-01-04 09:30	MST	3020	P	3.45	P
USGS	09163500	2016-01-04 09:45	MST	2990	P	3.43	P
USGS	09163500	2016-01-04 10:00	MST	2990	P	3.43	P
USGS	09163500	2016-01-04 10:15	MST	2970	P	3.42	P
USGS	09163500	2016-01-04 10:30	MST	2940	P	3.40	P
USGS	09163500	2016-01-04 10:45	MST	2940	P	3.40	P
USGS	09163500	2016-01-04 11:00	MST	2910	P	3.38	P
USGS	09163500	2016-01-04 11:15	MST	2900	P	3.36	P
USGS	09163500	2016-01-04 11:30	MST	2900	P	3.36	P
USGS	09163500	2016-01-04 11:45	MST	2910	P	3.38	P
USGS	09163500	2016-01-04 12:00	MST	2910	P	3.38	P
USGS	09163500	2016-01-04 12:15	MST	2940	P	3.40	P
USGS	09163500	2016-01-04 12:30	MST	2970	P	3.42	P
USGS	09163500	2016-01-04 12:45	MST	2970	P	3.42	P
USGS	09163500	2016-01-04 13:00	MST	2970	P	3.42	P
USGS	09163500	2016-01-04 13:15	MST	2970	P	3.42	P
USGS	09163500	2016-01-04 13:30	MST	2990	P	3.43	P
USGS	09163500	2016-01-04 13:45	MST	3000	P	3.44	P
USGS	09163500	2016-01-04 14:00	MST	2990	P	3.43	P
USGS	09163500	2016-01-04 14:15	MST	3000	P	3.44	P
USGS	09163500	2016-01-04 14:30	MST	2990	P	3.43	P
USGS	09163500	2016-01-04 14:45	MST	2990	P	3.43	P
USGS	09163500	2016-01-04 15:00	MST	2970	P	3.42	P
USGS	09163500	2016-01-04 15:15	MST	2970	P	3.42	P
USGS	09163500	2016-01-04 15:30	MST	2960	P	3.41	P
USGS	09163500	2016-01-04 15:45	MST	2960	P	3.41	P
USGS	09163500	2016-01-04 16:00	MST	2940	P	3.40	P
USGS	09163500	2016-01-04 16:15	MST	2940	P	3.40	P
USGS	09163500	2016-01-04 16:30	MST	2940	P	3.40	P
USGS	09163500	2016-01-04 16:45	MST	2940	P	3.40	P
USGS	09163500	2016-01-04 17:00	MST	2960	P	3.41	P
USGS	09163500	2016-01-04 17:15	MST	2960	P	3.41	P
USGS	09163500	2016-01-04 17:30	MST	2970	P	3.42	P
USGS	09163500	2016-01-04 17:45	MST	2990	P	3.43	P
USGS	09163500	2016-01-04 18:00	MST	3000	P	3.44	P
USGS	09163500	2016-01-04 18:15	MST	3000	P	3.44	P
USGS	09163500	2016-01-04 18:30	MST	3020	P	3.45	P
USGS	09163500	2016-01-04 18:45	MST	3030	P	3.46	P
USGS	09163500	2016-01-04 19:00	MST	3050	P	3.47	P
USGS	09163500	2016-01-04 19:15	MST	3070	P	3.48	P
USGS	09163500	2016-01-04 19:30	MST	3070	P	3.49	P
USGS	09163500	2016-01-04 19:45	MST	3080	P	3.50	P
USGS	09163500	2016-01-04 20:00	MST	3080	P	3.50	P
USGS	09163500	2016-01-04 20:15	MST	3100	P	3.51	P
USGS	09163500	2016-01-04 20:30	MST	3100	P	3.51	P
USGS	09163500	2016-01-04 20:45	MST	3100	P	3.51	P
USGS	09163500	2016-01-04 21:00	MST	3100	P	3.51	P
USGS	09163500	2016-01-04 21:15	MST	3110	P	3.52	P
USGS	09163500	2016-01-04 21:30	MST	3110	P	3.52	P
USGS	09163500	2016-01-04 21:45	MST	3130	P	3.53	P
USGS	09163500	2016-01-04 22:00	MST	3130	P	3.53	P
USGS	09163500	2016-01-04 22:15	MST	3140	P	3.54	P
USGS	09163500	2016-01-04 22:30	MST	3160	P	3.55	P
USGS	09163500	2016-01-04 22:45	MST	3190	P	3.57	P
USGS	09163500	2016-01-04 23:00	MST	3230	P	3.60	P
USGS	09163500	2016-01-04 23:15	MST	3260	P	3.62	P
USGS	09163500	2016-01-04 23:30	MST	3290	P	3.64	P
USGS	09163500	2016-01-04 23:45	MST	3340	P	3.67	P
USGS	09163500	2016-01-05 00:00	MST	3390	P	3.70	P
USGS	09163500	2016-01-05 00:15	MST	3420	P	3.73	P
USGS	09163500	2016-01-05 00:30	MST	3470	P	3.76	P
USGS	09163500	2016-01-05 00:45	MST	3530	P	3.79	P
USGS	09163500	2016-01-05 01:00	MST	3580	P	3.83	P
USGS	09163500	2016-01-05 01:15	MST	3630	P	3.86	P
USGS	09163500	2016-01-05 01:30	MST	3660	P	3.88	P
USGS	09163500	2016-01-05 01:45	MST	3680	P	3.89	P
